Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,"What is the probable diagnosis for a chronic alcoholic who arrives at the emergency department presenting confusion, ataxia, painful eye movements, and involvement of the 6th cranial nerve?","Wernicke's encephalopathy is an acute, potentially life-threatening, neurological syndrome resultin
 g from thiamine (vitamin B1) deficiency, commonly found in chronic alcoholics.
 The classic triad of symptoms in Wernicke's encephalopathy includes
 • Encephalopathy (confusion),
 • Oculomotor dysfunction (painful eye movements, nystagmus, ophthalmoplegia)
 • Ataxia.
 The 6th cranial nerve (which controls lateral movement of the eye) is also involved",Wernicke's encephalopathy,Korsakoff psychosis,Delirium tremens,De Clerambault syndrome,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,"How would you treat a patient who is a long-term alcoholic and is currently experiencing seizures, altered sensorium, auditory hallucinations, and secondary delusions, with his last drink being 2 days ago?"," • This patient is probably suffering from an episode of delirium tremens. In such cases, diazepam
 and thiamine are given. They typically present with auditory hallucinations, usually voices that are
 unstructured. These voices can sound threatening and maligning, while some patients report it
 sounds pleasant. Hallucinations are common in chronic alcohol abusers. Thiamine is ideal for
 treating alcohol-induced Wernicke’s encephalopathy and Korsakoff’s psychosis",Diazepam,Thiamine,Naltrexone,Flupenthixol depot injection,D
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,Which of the following statements accurately describes lithium?," It can cause fine postural tremors at therapeutic dosage
 • This statement is true. One of the common side effects of lithium, even at therapeutic dosages, is
 the development of fine postural tremors. These tremors typically occur during tasks that require
 fine motor skills and can be dose-dependent",It can cause fine postural tremors at therapeutic dosage,It is not absorbed from the gut,It is not teratogenic,It is also used for treatment of absence seizures,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,"A patient stopped alcohol consumption for 3 days and presented with irritability, disorientation, paranoid delusions, agitation, visual hallucinations, and altered sensorium. What is the likely diagnosis in this case?","• Delirium tremens is a serious condition that can be extremely dangerous and even fatal. It occurs
 during alcohol withdrawal. Confusion, intense physical reactions, visual hallucinations, motor
 agitation, disorientation, paranoid delusions, and altered sensorium characterize it.",Delirium tremens,Wernicke’s encephalopathy,Korsakoff psychosis,Alcohol-induced psychosis,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,"Which of the following drug abuses can lead to the symptoms described by a 25-year-old male patient, who complains of a sensation resembling insects crawling beneath his skin?"," • Cocaine abuse can lead to the development of a condition called ""formication,"" which is the
 sensation of insects crawling under the skin. This phenomenon is also known as ""coke bugs"" or
 Page 7
 180
""cocaine bugs."" Cocaine is a powerful stimulant drug that affects the central nervous system. It
 increases the levels of dopamine, a neurotransmitter associated with pleasure and reward, in the
 brain.
 • The sensation of formication is a common side effect of cocaine abuse and is believed to be
 related to the drug's stimulant effects on the nervous system. The exact mechanism of how cocaine
 causes this sensation is not fully understood, but it is thought to involve alterations in the brain's
 perception and processing of sensory information.",Cannabis,Cocaine,Amphetamine,Alcohol,B
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,"Alcohol withdrawal delirium is the most severe form of withdrawal syndrome, also known as Delirium Tremens. The syndrome usually develops on the third hospital day. Episodes of Delirium Tremens usually begin in a patient after 5 to 15 years of heavy drinking, typically of the binge type. Symptoms include delirium, confusion, disorientation, hallucinations (tactile & visual), delusions, agitation, and autonomic hyperactivity.","Alcohol withdrawal delirium is the most severe form of withdrawal syndrome, also known as Deliriu
 m Tremens. The syndrome usually develops on the third hospital day. Episodes of Delirium Treme
 ns usually begin in a patient after 5 to 15 years of heavy drinking, typically of the binge type. Sympt
 oms include delirium, confusion, disorientation, hallucinations (tactile &
 visual), delusions, agitation, and autonomic hyperactivity",Delirium tremens,Wernicke’s encephalopathy,Korsakoff psychosis,Alcohol-induced psychosis,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What is the role of nicotine substitution therapy in treating nicotine addiction?," • Nicotine substitution therapy treats nicotine addiction and helps reduce withdrawal symptoms
 associated with smoking cessation. Indeed, nicotine gums should not be taken with coffee/tea/soda as
 they are known to reduce absorption. A gap of 15 mins is necessary.
 • People who smoke < 25 cigarettes/day can take a 2mg variety
 • People who smoke > 25 cigarettes/day can take a 4mg variety.
 • Smokers can use 1-2 gums per hour. Adverse effects include sore jaw or bad taste",Nicotine gums are best taken with coffee,People smoking < 25 cig/day should use 4mg gum,Nicotine gum can be used without time gaps,People smoking > 25 cig/day should use 4mg gum,D
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What characterizes Korsakoff syndrome?," • Korsakoff syndrome is a chronic condition associated with severe thiamine deficiency due to alcohol
 misuse. Characteristic features are loss of recent memory and anterograde amnesia. They also present
 with learning difficulties and confabulation. It is treated by Thiamine supplementation of 100 mg per oral
 twice or thrice daily for 3-12 months.",Loss of recent memory and anterograde amnesia,Agitation and confusion,Visual hallucinations,Short-term memory loss,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,Which medication is used as an anti-smoking agent?,"• Varenicline is a medication used as an antismoking agent. It works by targeting nicotine receptors
 in the brain, reducing the pleasurable effects of smoking and decreasing nicotine withdrawal
 symptoms. Varenicline is commonly prescribed to individuals who want to quit smoking or tobacco
 use.",Bupropion,Acamprosate,Varenicline,Gabapentin,C
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What treatment should be given to a patient with chronic alcoholism showing signs of disorientation?," • Here the patient is suffering from chronic alcoholism and shows symptoms of alcohol withdrawal
 with thiamine deficiency. The patient is in a disoriented state. So the patient is given Lorazepam
 and thiamine. Lorazepam is a short-acting benzodiazepine that is usually given for alcohol
 withdrawal. In the treatment of alcohol withdrawal, thiamine is also added with benzodiazepines.
 • Many of the time, these patients have a deficiency of Vitamin B1(thiamine). With thiamine
 deficiency, the patients exhibit confabulation(from Korsakoff Syndrome ) which is making false
 stories to fill memory gaps. These patients may not be able to remember things, so there are
 memory gaps. These patients fill those gaps with memories and make false fabricated stories.
 These are unintentional. Also, because of chronic use of alcohol, there is poor absorption of alcohol
 from the body.",Haloperidol + thiamine,Lorazepam only,Lorazepam + thiamine,Thiamine only,C
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,When do withdrawal symptoms typically develop after stopping alcohol intake?,"• Alcohol withdrawal symptoms develop after reducing or stopping alcohol intake. The patient may
 start to develop certain symptoms:
 • After 6-8 hours of stopping alcohol patients develop mild symptoms where the tremor is the
 classical or the most common sign. The coarse tremors include hand and body shaking. Other
 early symptoms include GI symptoms (Nausea, Vomiting) , Autonomic Hyperactivity (Anxiety
 arousal, Sweating, Mydriasis, Tachycardia, Hypertension)",6-8 hours,12-24 hours,8-12 hours,24-72 hours,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What severe condition may occur in individuals who abruptly stop heavy alcohol consumption?,"• A person who has been drinking heavily for a long period may have delirium tremens (DTs), a
 severe type of alcohol withdrawal. DTs can happen if the individual stops drinking suddenly. DTs
 are a medical emergency that poses a risk to life. Alcohol users may get delirium tremens, a severe
 withdrawal condition. Some of its symptoms include trembling, anxiety, disorientation, and
 hallucinations.
 • Delirium tremens is a serious medical condition that requires immediate attention. Minor liquor
 withdrawal is described by quakes, nervousness, queasiness, spewing, and sleep deprivation.
 Significant liquor withdrawal signs and side effects incorporate visual mind flights and hearable
 pipedreams, entire body quake, heaving, diaphoresis, and hypertension (hypertension).
 Exaggerated autonomic hyperactivity, a hyperadrenergic condition, and central nervous system
 excitability distinguish it.
 • Delirium tremens is a condition that can cause seizures as well. In this case, the patient
 experienced a seizure that was managed with lorazepam, a drug that is frequently used to treat
 alcohol withdrawal. Typically, DTs symptoms appear 2 to 3 days after someone quits drinking. Here
 the patient starts hallucinating three days post-admission to ICU. This is definitely a symptom of
 Delirium Tremens. The history of chronic alcoholism further supports this diagnosis, as Delirium
 tremens are most commonly associated with alcohol withdrawal.",Delirium tremens,Alcoholic hallucinosis,Alcohol intoxication,Wernicke-Korsakoff syndrome,A
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What is the appropriate treatment for an alcoholic patient in a disoriented state with hallucinations?,"• Lorazepam + thiamine. In an alcoholic patient in a disoriented state with hallucinations, the
 management involves treating alcohol withdrawal syndrome and preventing Wernicke-Korsakoff
 syndrome.",Haloperidol + thiamine,Lorazepam only,Haloperidol only,Lorazepam + thiamine,D
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,Which drug is commonly associated with black pigmentation of the tongue and tactile hallucinations?," • Cocaine: Among the options provided, cocaine is most commonly associated with black
 pigmentation of the tongue and tactile hallucinations. The black pigmentation of the tongue is
 known as ""black tongue,"" and it occurs due to a condition called black hairy tongue. It is
 characterized by elongation of the filiform papillae on the tongue, which can appear black or dark
 brown. Tactile hallucinations, also known as formication, are a common symptom of cocaine use
 and can involve sensations of insects crawling on or under the skin",Heroin,Opium,Cocaine,Alcohol,C
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What is the likely diagnosis for a patient experiencing auditory hallucinations after a long history of alcohol use?,"• Alcoholic hallucinosis is an uncommon intricacy of constant liquor misuse portrayed by
 dominatingly hearable mental trips that happen either during or after a time of weighty liquor
 utilization. The patient may be confused or agitated, and the hallucinations are typically accusatory
 or threatening. The condition usually goes away on its own after a few days or a week. The patient,
 in this instance, is a 30-year-old male who has been drinking for a long time. After having surgery,
 Page 12
 185
he is now having auditory hallucinations. The threatening and accusatory hallucinations cause the
 patient's confusion. Alcoholic hallucinations are consistent with these symptoms. A particular kind
 of alcohol-induced psychotic disorder known as alcoholic hallucinosis can occur during or shortly
 after alcohol withdrawal. The way that the patient is a periodic alcoholic further backs this
 determination, as liquor withdrawal is a typical trigger for the improvement of alcoholic hallucinosis.",Delirium tremens,Alcoholic hallucinosis,Acute and transient psychotic disorder,Wernicke-Korsakoff syndrome,B
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,What is the primary cause of delirium tremens in an alcoholic?,"Gradual withdrawal of alcohol Explanation: Delirium tremens in an alcoholic is caused by
 the gradual withdrawal of alcohol. Abrupt cessation or significant reduction of alcohol intake leads 
to hyperexcitability of the brain, resulting in the manifestation of withdrawal symptoms",Acute infection,Fatty liver,Gradual withdrawal of alcohol,Small doses of regular consumption of alcohol,C
Psychiatry,Addiction Medicine,Addictive And Substance Abuse,Which side effect is least commonly associated with escitalopram?," Sialorrhea refers to excessive salivation or drooling, and it is not commonly 
associated with the use of escitalopram. Sialorrhea, or excessive salivation, is not typically associa
 ted with the use of escitalopram. Other medications or medical conditions may be more commonly 
linked to this side effect",Nausea,Vivid dreams,Anorgasmia,Sialorrhea,D
Pharmacology,Pharmacology,Ans Pharma,What is the mechanism of action of botulinum toxin in the treatment of wrinkles when administered to an elderly woman?,"Botulinum toxin inhibits the release of acetylcholine at the neuromuscular junction, causing muscle relaxation. It's used for conditions like dystonias and for cosmetic purposes. The other options misrepresent the action of the toxin.",A. Inhibits the release of acetylcholine,B. Release of noradrenaline,C. Selectively and irreversibly inhibits nicotinic receptors,D. Stimulates muscarinic and nicotinic receptors,A
Pharmacology,Pharmacology,Ans Pharma,"Which of the following statements about the treatment of a farmer presenting with symptoms of diarrhea, sweating, excessive tearing, and salivation in the emergency department is not accurate?",The scenario describes organophosphate or carbamate poisoning. Pralidoxime reactivates acetylcholinesterase in organophosphate poisoning but does not reverse carbamate effects. The incorrect options misstate how carbamates and atropine function.,A. Carbamates bind to acetylcholinesterase irreversibly,B. Atropine is used as an antidote for OP poisoning,C. Pralidoxime has a role in reversing the enzyme in carbamate poisoning,D. Succinylcholine use is avoided in rapid sequence intubation,D
Pharmacology,Pharmacology,Ans Pharma,Which of the following beta blockers has a short duration of action?,"Esmolol is a short-acting beta-blocker with a half-life of about 9 minutes, used in rapid control of heart rate. Other options are long-acting or have different properties affecting duration of action or selectivity.",A. Nadolol,B. Propranolol,C. Esmolol,D. Atenolol,A
Pharmacology,Pharmacology,Ans Pharma,Which of the following is the most likely cause of acute bronchial asthma in a patient who has been treated for glaucoma and presented to the emergency department?,"Timolol, a non-selective beta-blocker, can cause bronchospasm in asthmatic patients. The other options (beta-1 selective blockers and prostaglandin analogs) are less likely to induce bronchoconstriction.",A. Timolol,B. Betaxolol,C. Latanoprost,D. Bimatoprost,A
Pharmacology,Pharmacology,Ans Pharma,Dale's vasomotor reversal can be best described as,"After alpha blockade with phentolamine, adrenaline leads to a drop in blood pressure due to beta-mediated vasodilation. Other listed options either do not contribute to vasomotor reversal or involve non-selective receptor activation.",A. Repeated administration of ephedrine decreases its effect on blood pressure,B. A patient pretreated with phentolamine develops severe hypotension on the administration of adrenaline,C. High dose of acetylcholine after,D. An increase in pulse pressure is produced by the intravenous administration of isoprenaline,A
Pharmacology,Pharmacology,Ans Pharma,"A patient comes to the casualty with organophosphate poisoning. He was started on atropine infusion and pralidoxime. After 2 hours, the patient had a sudden rise in temperature. What is the likely cause of fever?","The likely cause of fever is atropine toxicity; atropine can increase body temperature. Other options, like organophosphate poisoning and idiopathic fever, do not specifically explain the rise in temperature in this case.",A. Atropine toxicity,B. A side effect of pralidoxime,C. Due to organophosphate poisoning,D. Idiopathic,A
Pharmacology,Pharmacology,Ans Pharma,A male patient was admitted to the emergency department following ingestion of an unidentified toxic substance. The medical team suspected muscarinic poisoning and initiated appropriate treatment. What was the potential symptom or characteristic that aided in making this diagnosis?,"Bradycardia occurs due to the stimulation of muscarinic receptors, leading to decreased heart rate. Other options do not specifically correlate with muscarinic receptor activation and its effects.",A. Mydriasis,B. Diuresis,C. Muscle fasciculations,D. Bradycardia,D
Pharmacology,Pharmacology,Ans Pharma,What is the most efficient oral medication for quitting smoking?,"Varenicline is a partial agonist at the nicotine receptor and is effective for smoking cessation. Other options do not pertain to smoking cessation, with some being unrelated to nicotine addiction altogether.",A. Varenicline,B. Cevimeline,C. Muscarine,D. Atropine,A
Pharmacology,Pharmacology,Ans Pharma,Osimertinib is utilized for the treatment of non-small cell lung cancer (NSCLC) caused by a genetic mutation.,"Osimertinib is effective against NSCLC with the T790M mutation, which is related to resistance to first-generation EGFR TKIs. Other options either refer to mutations not associated with osimertinib or do not exist.",A. ROS1 mutation,B. T890M mutation,C. T790M mutation,D. M790T mutation,C
Pharmacology,Pharmacology,Ans Pharma,Match the following: a. Beta 1 1. Mirabegron b. Beta 2 2. Betaxolol c. Beta 3 3. Isoprenaline,A: Betaxolol is a selective beta-1 antagonist used primarily as an antihypertensive agent. B: Isoprenaline is a non-selective beta agonist used in emergencies to increase heart rate and cardiac output. C: Mirabegron is a selective beta-3 agonist used for overactive bladder treatment.,"A. a-2, b-1, c-3","B. a-3, b-1, c-2","C. a-2, b-3, c-1","D. a-3, b-2, c-1","A, B, C"
Pharmacology,Pharmacology,Ans Pharma,What is the possible cause of poisoning in a farmer who has a pin-point pupil and an increase in secretions?,"A: Organophosphate poisoning is characterized by increased secretions and pinpoint pupils due to acetylcholinesterase inhibition. Symptoms include nausea, sweating, and respiratory paralysis. The other options describe different toxicological effects that do not match these symptoms.",A. Organophosphate poisoning,B. Dhatura poisoning,C. Opioid poisoning,D. Atropine poisoning,A
Pharmacology,Pharmacology,Ans Pharma,A patient with diabetes developed postoperative urinary retention. Which of the following drugs can be used for short-term treatment of the condition?,"B: Bethanechol is a cholinergic agonist that stimulates muscarinic receptors in the bladder, promoting contractions and relieving postoperative urinary retention. The other options are either ineffective for this condition or have different therapeutic purposes.",A. Tamsulosin,B. Bethanechol,C. Terazosin,D. Methacholine,B
Pharmacology,Pharmacology,Ans Pharma,"What can be administered to manage a patient who arrives at the emergency department experiencing symptoms such as diarrhea, sweating, excessive tearing, and increased salivation, with a pulse rate of 55 beats per minute and a plasma cholinesterase level of 50U/mL?","B: Atropine is the treatment of choice for organophosphate poisoning, as it counteracts the excessive cholinergic effects. The symptoms presented align with this type of poisoning. The other options are not used for treating this condition.",A. Neostigmine,B. Atropine,C. Epinephrine,D. Benztropine,B
Pharmacology,Pharmacology,Ans Pharma,What can be administered for the prolonged treatment of obesity among the options provided?,"A: Liraglutide helps manage type 2 diabetes and promotes weight loss by mimicking GLP-1, increasing insulin secretion and reducing appetite. The other options are either less effective or have been withdrawn from the market due to safety concerns.",A. Liraglutide,B. Metformin,C. Sibutramine,D. Fenfluramine,A
Pharmacology,Pharmacology,Ans Pharma,Which drug is the most effective for quitting smoking?,"A: Varenicline is effective for smoking cessation by reducing cravings and withdrawal symptoms, making it more effective than nicotine replacement therapies. The other options do not directly target smoking cessation or have limitations in efficacy.",A. Varenicline,B. Buspirone SR,C. Nicotine gum,D. Rimonabant,A
Pharmacology,Pharmacology,Ans Pharma,"What treatment can be administered to a patient brought to the emergency department with symptoms of diarrhoea, sweating, excessive lacrimation, salivation, and a garlicky odor, along with a pulse rate of 55/min and a plasma cholinesterase level of 50U/mL?","B: The scenario describes acute neurotoxic poisoning, where atropine is the drug of choice for organophosphate poisoning. The other options are unrelated to treating organophosphate toxicity.",A. Neostigmine,B. Atropine,C. Epinephrine,D. Benztropine,B
Pharmacology,Pharmacology,Ans Pharma,"In infants, which of the subsequent antiglaucoma medications is considered unsafe?","Brimonidine is an alpha-2 adrenergic agonist used in treating glaucoma. It can cause serious adverse effects like CNS depression, hypotension, and apnea in infants, making it generally unsafe for them. Timolol, latanoprost, and dorzolamide are considered safer alternatives for infants.",A. Timolol,B. Brimonidine,C. Latanoprost,D. Dorzolamide,B
Pharmacology,Pharmacology,Ans Pharma,Which medication is employed to distinguish between myasthenia gravis and cholinergic crisis?,"Edrophonium is a short-acting reversible acetylcholinesterase inhibitor used to diagnose myasthenia gravis (MG) and differentiate it from cholinergic crisis. In MG, it temporarily increases acetylcholine at the neuromuscular junction, leading to improved muscle strength. In cholinergic crisis, it can worsen symptoms due to excess acetylcholine. Other options are not relevant for this differentiation.",A. Obidoxime,B. Edrophonium,C. Donepezil,D. Atropine,B
Pharmacology,Pharmacology,Ans Pharma,What is the purpose of administering intravenous mannitol?,"Mannitol is an osmotic diuretic used for acute increased intraocular pressure associated with glaucoma. It reduces intraocular fluid volume and provides temporary relief. While it may be used in some cases of pulmonary edema and acute kidney injury, it is not standard treatment for these conditions.",A. Pulmonary edema,B. Congestive cardiac failure,C. Acute kidney injury with anuria,D. Glaucoma,D
Pharmacology,Pharmacology,Ans Pharma,Which of the following medications acts by blocking the enzyme catechol-O-methyl transferase?,"Tolcapone inhibits the catechol-O-methyltransferase (COMT) enzyme, prolonging the action of neurotransmitters like dopamine. Other options like amantadine, rotigotine, and selegiline act through different mechanisms and do not directly inhibit COMT.",A. Amantadine,B. Rotigotine,C. Tolcapone,D. Selegiline,C
Pharmacology,Pharmacology,Ans Pharma,What medication could have been responsible for the numbness and altered hand sensation experienced by a patient undergoing migraine treatment?,"Dihydroergotamine is used for migraines and can cause peripheral vasoconstriction, leading to symptoms like Raynaud's phenomenon. Sumatriptan, butorphanol, and aspirin are less associated with this side effect.",A. Dihydroergotamine,B. Sumatriptan,C. Butorphanol,D. Aspirin,A
Pharmacology,Pharmacology,Ans Pharma,Which drug is most likely to cause tremors with prolonged use?,"Long-term use of Salbutamol, a bronchodilator, can lead to tremors as a side effect. Propofol, betaxolol, and timolol are not typically associated with tremors.",A. Salbutamol,B. Propofol,C. Betaxolol,D. Timolol,A
Pharmacology,Pharmacology,Ans Pharma,Which one of the options provided acts as a bronchodilator with a prolonged duration of action?,"Formoterol is a long-acting bronchodilator, suitable for treating asthma and COPD. In contrast, salbutamol and terbutaline are short-acting, and adrenaline provides immediate relief but is not long-acting.",A. Salbutamol,B. Terbutaline,C. Adrenaline,D. Formoterol,D
Pharmacology,Pharmacology,Ans Pharma,What is the preferred medication for managing Alzheimer's disease?,"Donepezil is a cholinesterase inhibitor and is the drug of choice for Alzheimer's disease, improving cognitive function. Atropine, physostigmine, and fluoxetine are not appropriate for this condition.",A. Donepezil,B. Atropine,C. Physostigmine,D. Fluoxetine,A
Pharmacology,Pharmacology,Ans Pharma,What is the mechanism by which atropine treats organophosphate poisoning?,"Atropine is used in organophosphate poisoning as an antidote to counteract excessive acetylcholine stimulation. It acts as an antagonist at muscarinic receptors, blocking acetylcholine's effects. The other options incorrectly describe atropine's mechanism",A. It inhibits secretion of acetylcholine,B. It is reactivation of acetylcholinesterase enzyme,C. It has antimuscarinic activity,D. It is agonist of acetylcholine receptors,C
Pharmacology,Pharmacology,Ans Pharma,"A 5-year-old male child is brought to the ophthalmology clinic by his mother with complaints of blurring of vision for one week. The patient further explains that he only has blurring of the far vision and has no problem in his near vision. The patient gives a history of no other abnormalities. For a detailed examination of the eye, the doctor uses a short-acting topical medication which also has a cycloplegic effect. Which of the following drug was used by the doctor in this case?",Tropicamide is a short-acting topical medication used for cycloplegia and mydriasis in ophthalmology. It allows for detailed eye examinations by temporarily paralyzing the ciliary muscle and dilating the pupil.,A. Atropine oral,B. Atropine eye ointment,C. Tropicamide eye drops,D. Phenylephrine eye drops,C
Pharmacology,Pharmacology,Ans Pharma,Pilocarpine produces:,"Pilocarpine is a cholinergic agonist that induces miosis (pupil constriction) by contracting the iris sphincter muscle, making it effective for treating conditions like glaucoma.",A. Active miosis,B. Active mydriasis,C. Passive miosis,D. Passive mydriasis,A
Pharmacology,Pharmacology,Ans Pharma,What is the effect when muscarinic receptors are stimulated?,"Stimulation of muscarinic receptors promotes penile erection by increasing blood flow through the release of nitric oxide (NO), which relaxes smooth muscle in the penile arteries.",A. Erection,B. Ejaculation,C. Bronchodilation,D. Increased myocardial contractility,A
Pharmacology,Pharmacology,Ans Pharma,Match the following dilution of adrenaline and its use: A. 1:1000 1. Cardiac arrest B. 1:10000 2. Anaphylaxis C. 1:100000 3. Local anesthesia,"Dilution 1:10,000 of adrenaline is used during cardiac arrest for CPR, improving circulation. Other dilutions serve different purposes, such as anaphylaxis and local anesthesia.","A. A-1, B-2, C-3","B. A-2, B-1, C-3","C. A-3, B-2, C-1","D. A-1, B-3, C-2",B
