Subject,Topic,Subtopic,QuestionText,Explanation,OptionA,OptionB,OptionC,OptionD,CorrectOpt
Microbiology,Bacteriology,Bacteriology,"A 12-year-old girl presents with a severe headache, photophobia, and a high fever of 101 degrees F. On examination, papilledema and nuchal rigidity were present. Kernig’s and Brudzinski's signs were positive. CSF examination shows reduced glucose, increased protein, and increased leukocytes with the predominance of neutrophils. Gram staining of the CSF is shown below. The causative organisms are.","Symptoms such as severe headache, photophobia, high fever, and signs of meningitis indicate bacterial meningitis, with gram staining showing gram-negative diplococci suggesting Neisseria meningitidis as the cause.",A. Haemophilus influenzae type B,B. Neisseria meningitidis,C. Streptococcus pneumoniae,D. Listeria monocytogenes,B
Microbiology,Bacteriology,Bacteriology,"A 34-year-old HIV-positive male presented with low-grade fever, cough, night sweats, and weight loss for the past 3 weeks. In view of TB investigations, the Mantoux test was negative; chest X-ray showed non-specific findings, and an adequate amount of sputum could not be collected for slide examination. Which of the following is used to diagnose latent TB infection in this patient?","• In an HIV-positive individual with suspected latent tuberculosis (TB), the Mantoux test may yield false-negative results due to impaired immune response. • IGRA (interferon-gamma release assay) is used as an alternative method for diagnosing latent TB infection. • T-lymphocytes are exposed to antigens (ESAT6, TB 7.7, CFP 10), stimulating interferon-gamma release, which is measured by ELISA. This method is advantageous as it is negative in BCG-vaccinated individuals.",A. CBNAAT,B. MGIT system,C. Interferon-gamma release assay,D. Line probe assay,C
Microbiology,Bacteriology,Bacteriology,"A middle-aged man presents with a painless genital ulcer, as shown below. A Microscopy of a sample from the lesion is also shown below. Which of the following is the most likely diagnosis?","• A painless genital ulcer with microscopy showing bipolar staining suggests Granuloma inguinale (donovanosis) caused by *Klebsiella granulomatis.* • It presents as a painless papule that ulcerates over time, often showing a beefy ulcer that bleeds profusely on touch. • Microscopy reveals Donovan's body, with large macrophages filled with capsulated bacilli exhibiting a safety-pin appearance.",A. Granuloma inguinale,B. Lymphogranuloma venereum,C. Chancroid,D. Gonorrhea,A
Microbiology,Bacteriology,Bacteriology,Match the following E. coli with their respective pathogenesis. E.coli Mechanism of action 1. ETEC 2. EIEC 3. EHEC 4. EPEC a. Adheres to intestinal mucosa via EAC and causes effacement of microvilli b. Invades intestinal mucosal cell via virulence marker antigen c. Produces a verocytotoxin/Shiga toxin against vascular endothelium cells d. Invades intestinal mucosal cell via CFA.,"1-d, 2-b, 3-c, 4-d: ETEC produces heat-labile (LT) and heat-stable (ST) toxins affecting cAMP and cGMP levels respectively, leading to diarrhea. EIEC invades the intestinal mucosa, EHEC produces Shiga toxin, and EPEC adheres via EAC and effaces microvilli.","1-a, 2-c, 3-2, 4-d","1-b, 2-c, 3-a, 4-d","1-c, 2-d, 3-a, 4-b","1-d, 2-b, 3-c, 4-d",D
Microbiology,Bacteriology,Bacteriology,"Identify the organism shown below, which causes effacement and attachment of intestinal cells.","Enteropathogenic E. coli (EPEC) causes attachment-effacement lesions in the intestinal mucosa. It has factors like EPEC adherence factor (EAF) and the chromosomal locus of enterocyte effacement (LEE) pathogenicity island that promote tight adherence. After attachment, there is a loss of microvilli and formation of filamentous actin pedestals, leading to diarrhea.",ETEC,EIEC,EPEC,EAEC,C
Microbiology,Bacteriology,Bacteriology,What is the diagnostic method depicted in the image?,"Darkfield microscopy visualizes thin structures that are difficult to see in brightfield microscopy. The specimen appears bright against a dark background due to scattered light entering the objective lens. It's useful for visualizing structures like flagella, treponema, and spirochetes.",Darkfield microscopy,Phase contrast microscopy,Fluorescent microscopy,Electron microscopy,A
Microbiology,Bacteriology,Bacteriology,"The test shown below, which uses a bacitracin disc, is useful in identifying …………","The bacitracin susceptibility test identifies Streptococcus pyogenes, which shows a zone of inhibition around the bacitracin disc on a blood agar culture plate. Other streptococci are less sensitive or resistant to bacitracin, so they wouldn’t show the same result.",Staphylococcus aureus,Streptococcus pyogenes,Staphylococcus epidermidis,Streptococci agalctiae,B
Microbiology,Bacteriology,Bacteriology,A patient who underwent a renal transplant 3 months ago comes with complaints of diarrhea for the last 9 days. The stool sample was subject to Kinyoun stain revealing 4-6 µm structures shown below. Which of the following is true about the organism ?,"Sporozoites adhere to intestinal mucosa: Cryptosporidium parvum is a protozoan parasite causing gastrointestinal infections, especially in immunocompromised individuals. The infective form is oocysts, which, upon ingestion, release sporozoites that adhere to the intestinal mucosa, forming parasitophorous vacuoles. Two oocyst types are produced: thick-walled (excreted) and thin-walled (autoinfection).",Pathogen does not show autoinfection,Sporozoites are infective form,Sporozoites adhere to intestinal mucosa,High infectivity dose is required,C
Microbiology,Bacteriology,Bacteriology,"A patient is exhibiting symptoms of urethral discharge. A sample of the discharge is used to create a gram stain smear, revealing the provided microscopic image. Based on this information, what is the most probable organism responsible for the symptoms?","Vibrio cholerae disrupts tight junctions (zonula occludens) in intestinal cells, causing watery diarrhea.",Trichomonas,Chlamydia trachomatis,Neisseria gonorrheae,Gardnerella,C
Microbiology,Bacteriology,Bacteriology,"A patient presents with a mobile, warm-to-touch nodule in the neck. The anaerobic culture of the biopsy material from this swelling showed colonies, as shown in the image, which had gram-positive branching rods on staining. Which of the following is the drug of choice in this condition?","The presence of gram-negative intracellular diplococci in urethral discharge indicates infection by Neisseria gonorrhoeae, a common sexually transmitted infection.",Doxycycline,Cotrimoxazole,Penicillin,Surgical drainage,C
Microbiology,Bacteriology,Bacteriology,Which toxin acts via the mechanism depicted in the image below?,"Topical mupirocin is an effective antibiotic for eradicating nasal colonization of MRSA. It is applied intranasally and has been shown to reduce MRSA colonization significantly, preventing transmission.",Botulinum,Tetanus,Diphtheria,Pertussis,C
Microbiology,Bacteriology,Bacteriology,A 25-year-old man presents with a history of urethral discharge for the last three days. A gram stain smear of the discharge is shown below. All of the following are true regarding the likely etiology except?,"Botulinum toxin inhibits the release of acetylcholine at the neuromuscular junction, leading to muscle paralysis. This mechanism differs from those of other toxins that affect neurotransmitter release or protein synthesis.",Catalase and oxidase positive,No polysaccharide capsule,Maltose acid detection present,Shows twitching motility,A
Microbiology,Bacteriology,Bacteriology,How does the toxin produced by the organism depicted below act?,"The Mw vaccine is derived from Mycobacterium indicus pranii, a heat-killed whole-cell preparation of a non-pathogenic mycobacterium.",Increase in cAMP,Increase in cGMP,ADP ribosylation of EF2,RNA glycosidase,A
Microbiology,Bacteriology,Bacteriology,A man presents with a history of dysuria and urethral discharge after having unprotected sexual intercourse. Gram-staining of the purulent discharge is shown in the following image. What is the treatment of choice for this infection?,"The patient likely has urethritis due to Neisseria gonorrhoeae, identified by gram-negative diplococci. The combination of ceftriaxone and azithromycin is effective against N. gonorrhoeae, with a single 125 mg IM dose of ceftriaxone and a 1 gram dose of azithromycin considered the treatment of choice for urethritis in men. This regimen is recommended to ensure effective treatment of gonococcal infections.",Erythromycin,Ciprofloxacin + Azithromycin,Ceftriaxone + Azithromycin,Penicillin G,C
Microbiology,Bacteriology,Bacteriology,"A 45-year-old man presents with fever, headache, photophobia, and neck rigidity for the last 2 days. He had undergone a heart transplant one year back and is on immunomodulatory drugs. On microscopy, differential motility was seen, non-motile at 37 degrees, and motile at 25 degrees. What is the most likely organism causing this?","Listeria: The clinical presentation suggests meningitis, with common bacteria being Streptococcus pneumoniae, Neisseria meningitidis, H. influenzae, Listeria monocytogenes, Streptococcus agalactiae, and E. coli. Listeria exhibits differential motility—motile at 25°C (tumbling motility) and non-motile at 37°C, indicating it as the causative organism. Other organisms that show similar motility include Yersinia enterocolitica and Yersinia pseudotuberculosis.",Listeria,Streptococcus,Staphylococcus,Giardia lamblia,A
Microbiology,Bacteriology,Bacteriology,A patient presented with complaints of fever for 3 days and general fatigue. Echocardiography revealed vegetations on the valves and blood culture was done. The organism in the culture showed alpha hemolysis on blood agar and was resistant to optochin and bile. Which of the following bacteria is most commonly implicated in this condition?,"Streptococcus sanguinis: The patient's presentation is indicative of infective endocarditis, which can be caused by various organisms, including Staphylococcus aureus, coagulase-negative staphylococci, enterococci, and viridans streptococci. Streptococcus sanguinis is a Gram-positive facultative anaerobic coccus and a member of the viridans group, typically found in the mouth. It can lead to infective endocarditis when it enters the bloodstream, often during dental procedures. The patient's risk factors, such as fever, fatigue, and heart valve vegetation, further support this diagnosis. Other viridans streptococci include S. mitis, S. mutans, and S. salivarius.",Mycoplasma,Streptococcus sanguis,Enterococcus,Streptococcus agalactiae,B
Biostatics,General,Biostatics,What is the best way to use a graphical representation to illustrate patterns and changes in the occurrence of diarrheal disease within a specific region?,"A line graph is the best way to plot trends in the incidence of diarrheal disease over time. It visually represents the relationship between two variables, with time on the X-axis and the incidence rate on the Y-axis. The connecting line between data points helps easily identify trends and changes in disease incidence over time.",Line graph,Histogram,Ogive,Tree diagram,A
Biostatics,General,Biostatics,What is the branch of statistics dealing with method of data collection and counting?,"Descriptive statistics summarize and describe the key characteristics of data. They include measures of central tendency (mean, median, mode), measures of variability (standard deviation, variance), and graphical displays (histograms, box plots). This approach helps provide a clear picture of the data set's features without making predictions.",Theoretical statistics,Descriptive statistics,Analytical statistics,Inferential statistics,B
Biostatics,General,Biostatics,"Which method would be most effective in delivering statistical data to emphasize the significance of routine antenatal care for pregnant mothers, when educating a small, uneducated village during your rural posting?","Pictograms: These are effective for presenting data to individuals who may not understand traditional charts. They use small pictures or symbols to represent data, making the information more accessible. For instance, a picture of a doctor could represent the population per physician.",Pictogram,Line diagram,Histogram,Frequency polygon,A
Biostatics,General,Biostatics,A homogenous sample of 4 groups was taken as shown below. The height and weight of each group had a correlation coefficient of 0.6. What will be the total coefficient of correlation of the whole group?,"The correlation coefficient of 0.6 within each group indicates a positive correlation between height and weight. This suggests that as height increases, weight tends to increase as well, indicating a strong positive relationship across the dataset.",Equal to 0.6,Less than 0.6,More than 0.6,Skewed coefficient of 0.6,A
Biostatics,General,Biostatics,Which of the following is used for graphical representation in flow cytometry analysis?,"The graphical representation for flow cytometry analysis is typically done using histograms and dot plots. Flow cytometry measures cellular properties (size, granularity, fluorescence intensity) and represents data using a histogram (showing frequency distribution) and a dot plot (showing relationships between two parameters). This combination effectively visualizes subpopulations and distributions.","Bar diagram, dot plot","Line diagram, dot plot","Histogram, dot plot","Pie chart, dot plot",C
Biostatics,General,Biostatics,Interpret the following graph?,"The correct order for distributions in a box-and-whisker plot is: 1. Normal, 2. Positively Skewed, 3. Negatively Skewed, 4. Normal with Outliers. A box plot summarizes the data's central tendency, spread, and outliers. A normal distribution appears symmetric with no outliers; positively skewed has a longer tail on the right; negatively skewed has a longer tail on the left; and normal with outliers includes outliers beyond the whiskers.","Normal, negatively skewed, positively skewed, skewed with outliers","Normal, positively skewed, negatively skewed, normal with outliers","Normal, negatively skewed, positively skewed, normal with outliers","Skewed with outliers, positively skewed, negatively skewed, normal",B
Biostatics,General,Biostatics,Examine the provided graphs depicting various occupational groups and their likelihood of developing fever. Identify the group with the greatest probability of experiencing fever.,"The component bar graph shows the parts-to-whole relationship, indicating that the highest chance of developing a fever is around 90% among white-collar jobs. The graph effectively communicates the likelihood of different job categories developing fever. The pie chart provides a percentage breakdown of the groups but does not show chances as clearly.",Industrial workers,Farmers,White collar jobs,Housewives,C
Biostatics,General,Biostatics,What type of statistical diagram is used in the given text to illustrate the population change between 1983 and 1989 in a specific location?,"A component bar graph, or stacked bar graph, displays parts-to-whole relationships. However, it is not typically suitable for depicting population change over time, which is better represented by a line graph showing trends. The component bar graph does not adequately track changes unless the population is divided into different components.",Histogram,Line diagram,Component bar graph,Multiple bar graphs,C
Biostatics,General,Biostatics,Which statistical diagram represents the population change in a specific location from 1983 to 1989?,"A component bar graph, or stacked bar graph, visually represents the composition of a whole across different categories. Each bar shows total values for a year, with segments representing population changes. This format effectively illustrates population changes over the years from 1983 to 1989.",Histogram,Line diagram,Component bar graph,Multiple bar graphs,C
Biostatics,General,Biostatics,What is the most effective approach to graphically represent the variations in the occurrence of a disease within a specific geographical region throughout a period of time?,"A line graph is ideal for representing changes in incidence over time, connecting data points with lines. The x-axis shows time, and the y-axis displays incidence rates, providing clear visual trends, patterns, and fluctuations in disease incidence over a specified period.",Line graph,Histogram,Ogive,Tree diagram,A
Biostatics,General,Biostatics,What is the most effective method for graphically representing the fluctuations in disease occurrence within a specific geographical region?,"A line graph effectively displays changes in disease incidence over time, with data points connected by a line. The x-axis represents time, while the y-axis represents incidence rates, allowing clear visualization of trends and patterns in the disease incidence throughout the specified period.",Line graph,Histogram,Ogive,Tree diagram,A
Biostatics,General,Biostatics,"Study A(red) and Study B(blue) done in a given population yields two different distribution curves as shown below. Comparing both the curves, which of the following will be true?","The mean equals the median, but not the mode, suggesting a symmetric distribution with a potentially different mode.",Mean = mode = median,"Mean = median, not equal to mode","Mean, median, mode not equal","Mode = median, not equal to mean",B
Bleeding And Platelet,General,Bleeding And Platelet,What does the vacutainer tube depicted in the provided image contain?,"The vacutainer tube contains a clot activator, which promotes blood clotting by activating coagulation factors. This is used for serum separation, where blood clots and serum is separated by centrifugation.",Na-EDTA,Trisodium citrate,NAF-heparin,Clot activator,D
Bleeding And Platelet,General,Bleeding And Platelet,"In the emergency department, a child presented with a sizable lesion on their forearm. As a surgery resident, your decision is to remove the lesion in the emergency operation theater. Which of the subsequent investigations will assess the complete coagulation pathway?","Thromboelastography (TEG) evaluates the entire coagulation pathway, including intrinsic and extrinsic pathways, by measuring viscoelastic properties of blood as it clots. It provides comprehensive information about clot formation, strength, and lysis, making it valuable in clinical decision-making during surgeries.",Activated partial thromboplastin time,Prothrombin time,Thromboelastography,Bleeding time,C
Bleeding And Platelet,General,Bleeding And Platelet,What does the following image show?,"Emperipolesis describes a process where one cell is engulfed within another without degradation, distinct from autophagy (degradation), phagocytosis (destruction of particles), and amoebic autophagy (a specific form of autophagy in amoebae).",Autophagy,Emperipolesis,Phagocytosis,Amoebic autophagy,B
Bleeding And Platelet,General,Bleeding And Platelet,"A patient was transfused 4 units of blood 2 hours ago, and now she complains of chest discomfort. The chest X-ray shows bilateral fissural thickening. Which of the following is the most probable cause?","The patient's chest discomfort and bilateral fissural thickening on X-ray indicate fluid overload, likely due to blood transfusion.",ABO incompatibility reactions,Fluid overload,Hypocalcemia,Graft-versus-host disease,B
Physiology,General Physiology,Blood Physiology,Blood group determined by agglutination test depicted:,"In O positive, there is no agglutination in either A or B antigens, indicating the absence of ABO antigens on red blood cells.",B positive,A positive,O positive,AB positive,C
Orthopedics,Bone Disorders,Bone And Imaging,," • The condition shown in the image is a benign bone tumour called osteoclastoma.
• It is usually a painless swelling which on palpation gives an “eggshell cracking sensation”.
 Histologically an abundance of giant cells can be seen.
 • On x-ray, we can observe an expanded cortex and thinning of the cortex with the absence of new
 bone formation.",Ewing’s sarcoma,Osteosarcoma,Osteoclastoma,Osteochondroma,C
Orthopedics,Bone Disorders,Bone And Imaging,,"• The x-ray finding seen in a patient with fluorosis is osteosclerosis.
 • Osteosclerosis refers to increased bone density or thickening of the bones. Radiographically, the
 bones appeared increased in density. This affected particularly the axial skeleton. In the vertebral
 bodies, the endplates were preferentially involved, giving bands of dense bone adjacent to the end
 plates with a central band of lower, normal bone density",Osteomalacia,Osteoporosis,Osteosclerosis,Osteopetrosis,C
Orthopedics,Bone Disorders,Bone And Imaging,," • Routine DEXA scan, which is used to measure bone mineral density, is typically recommended for
 women at the age of 65 years. This age is chosen because it is considered the threshold age for
 increased risk of osteoporosis and fractures in women",At 50 years,At 55 years,At 60 years,At 65 years,D
